countryName,exchg,purpose,date1,holdID,intervalIdent,marketCap1,marketCap20,marketCapRange,propertyName,Rank,reportDate,reportingComp,significantInterval,stage,surfaceUnder,date20,within21,gainPercent,change
Canada,GOM-TVX,Extension,0.2018,BF16-26,745795,19.16,16.63,>10 - 100,May Mac,527,12/13/2016,Golden Dawn Minerals Inc.,No,Target Outline,Surface,0.1752,FALSE,-13,decrease
Canada,OSK-TSX,Extension,1.8035,OSK-BD-16-002,741466,281.84,272.24,>100,Black Dog,447,12/6/2016,Osisko Mining Inc.,Yes,Reserves Development,Surface,1.6497,FALSE,-8,decrease
Mexico,MUX-US,Exploration,3.28,ENX-032,711093,982.21,1003.42,>100,El Gallo Complex,223,10/13/2016,McEwen Mining Inc.,Yes,Operating,Surface,3.35,FALSE,2,increase
Canada,MQR-TVX,Extension,0.2549,CR-16-489,725810,32.39,27.61,>10 - 100,Croinor,539,11/9/2016,Monarques Gold Corporation,No,Prefeas/Scoping,Surface,0.2194,FALSE,-13,decrease
Mexico,AMM-TSX,Extension,1.2184,TU-16-467,709345,104.92,117.77,>100,Tuligtic,107,10/12/2016,Almaden Minerals Limited,Yes,Prefeas/Scoping,Surface,1.3676,FALSE,12,increase
Mexico,AMM-TSX,Extension,0.8281,TU-16-479,754402,71.35,89.61,>10 - 100,Tuligtic,43,12/22/2016,Almaden Minerals Limited,Yes,Prefeas/Scoping,Surface,1.0399,FALSE,25,increase
Canada,AZM-TVX,Extension,0.3472,Channel 3,721857,15.78,10.77,>10 - 100,Eleonore South,712,11/3/2016,Azimut Exploration Inc.,Yes,Target Outline,Surface,0.237,FALSE,-31,decrease
Canada,AZM-TVX,Extension,0.244,ES16-57,730980,11.09,10.36,>10 - 100,Eleonore South,411,11/21/2016,Azimut Exploration Inc.,Yes,Target Outline,Surface,0.2279,FALSE,-6,decrease
Colombia,AGD-TVX,Extension,0.0608,GYB10-095,705682,14.58,18.36,>10 - 100,Cisneros,306,10/5/2016,Antioquia Gold Inc.,Yes,Construction Started,Underground,0.0599,FALSE,-1,decrease
Canada,ANX-TSX,Extension,0.0525,BN-16-279,719064,10.98,9.35,>10 - 100,Point Rousse,554,10/27/2016,Anaconda Mining Inc.,No,Operating,Surface,0.0447,FALSE,-14,decrease
Guyana,SSP-TVX,Definition,0.4256,SOD058,722080,48.49,33.79,>10 - 100,Toroparu,707,11/3/2016,Sandspring Resources Limited,Yes,Feasibility Started,Surface,0.2962,FALSE,-30,decrease
Papua New Guinea,FNT-ASX,Exploration,0.0273,EZL002,733123,1.25,0.99,<10,Bulago,647,11/23/2016,Frontier Resources Limited,Yes,Target Outline,Surface,0.021,FALSE,-23,decrease
Australia,AQQ-ASX,Infill,0.019,APD1324,715558,13.5,11.99,>10 - 100,Aphrodite,496,10/18/2016,Aphrodite Gold Limited,No,Prefeas/Scoping,Surface,0.0169,FALSE,-11,decrease
Canada,BFD-TVX,Extension,0.0754,BU-16-10,708079,10.22,8.59,>10 - 100,Urban,569,10/11/2016,Beaufield Resources Inc.,No,Reserves Development,Surface,0.0634,FALSE,-15,decrease
Canada,ER-TSX,Infill,0.3641,ER16-606,738706,63.85,53.64,>10 - 100,Clearwater,571,12/1/2016,Eastmain Resources Inc.,No,Prefeas/Scoping,Surface,0.3059,FALSE,-15,decrease
Burkina Faso,VML-ASX,Exploration,0.0162,KDD004,716606,9.6,9.54,<10,Doulnia,285,10/20/2016,Vital Metals Limited,Yes,Target Outline,Surface,0.0161,FALSE,0,same
Burkina Faso,WAF-ASX,Extension,0.2478,TAN16-DD055,714528,118.66,116.86,>100,Sanbrado,331,10/17/2016,West African Resources Limited,Yes,Feasibility Started,Surface,0.2415,FALSE,-2,decrease
Burkina Faso,WAF-ASX,Extension,0.2033,TAN16-DD063,728035,98.38,83.16,>10 - 100,Sanbrado,560,11/15/2016,West African Resources Limited,Yes,Feasibility Started,Surface,0.1719,FALSE,-15,decrease
Burkina Faso,WAF-ASX,Extension,0.1709,TAN16-DD086,734331,82.71,66.95,>10 - 100,Sanbrado,615,11/28/2016,West African Resources Limited,Yes,Feasibility Started,Surface,0.1384,FALSE,-19,decrease
Burkina Faso,WAF-ASX,Extension,0.1596,TAN16-RC261,750787,77.24,88.85,>10 - 100,Sanbrado,85,12/20/2016,West African Resources Limited,Yes,Feasibility Started,Surface,0.1836,FALSE,15,increase
USA,TMI-TSX,Extension,0.1982,J-16-015,746894,52.3,47.38,>10 - 100,Gold Springs,592,12/14/2016,TriMetals Mining Inc.,No,Prefeas/Scoping,Surface,0.1641,FALSE,-17,decrease
Canada,GSR-TVX,Discovery,0.1903,BC-07,704460,31.18,25.81,>10 - 100,Plateau,593,10/3/2016,Goldstrike Resources Ltd.,No,Target Outline,Surface,0.1575,FALSE,-17,decrease
Australia,AUC-ASX,Extension,0.0247,BSRC0726,745479,8.67,7.61,<10,Katanning,510,12/13/2016,Ausgold Limited,Yes,Prefeas/Scoping,Surface,0.0217,FALSE,-12,decrease
Australia,CYL-ASX,Metallurgical,0.4294,ACT015,719068,23.68,20.59,>10 - 100,Bendigo North,522,10/27/2016,Catalyst Metals Limited,No,Target Outline,Surface,0.3734,FALSE,-13,decrease
Canada,GPY-TVX,Extension,0.4215,GP_01_11.21.2016,731405,32.12,33.23,>10 - 100,3 Aces,213,11/21/2016,Golden Predator Mining Corp.,Yes,Advanced Exploration,Surface,0.433,FALSE,2,increase
Canada,BTR-TVX,Extension,0.1707,BA-16-39,729027,15.19,14.41,>10 - 100,Gladiator,381,11/16/2016,Bonterra Resources Inc.,Yes,Reserves Development,Surface,0.1618,FALSE,-5,decrease
Canada,BTR-TVX,Extension,0.1736,BA-16-40,744933,15.46,17.39,>10 - 100,Gladiator,105,12/8/2016,Bonterra Resources Inc.,Yes,Reserves Development,Surface,0.1953,FALSE,12,increase
Australia,HLX-ASX,Extension,0.0373,HRDD002,728809,11.52,9.23,>10 - 100,Restdown,623,11/17/2016,Helix Resources Limited,Yes,Reserves Development,Surface,0.0299,FALSE,-19,decrease
Australia,CYL-ASX,Metallurgical,0.4294,FE663,719050,34.99,44.07,>10 - 100,Four Eagles,522,10/27/2016,Catalyst Metals Limited,No,Target Outline,Surface,0.3734,FALSE,-13,decrease
USA,MAX-TSX,Extension,0.7026,MGI-16-412,731227,126.46,127.16,>100,Stibnite,249,11/21/2016,Midas Gold Corporation,Yes,Prefeas/Scoping,Surface,0.7064,FALSE,0,same
USA,MAX-TSX,Extension,0.699,MGI-16-414,736507,125.83,88.73,>100,Stibnite,704,11/30/2016,Midas Gold Corporation,Yes,Prefeas/Scoping,Surface,0.4929,FALSE,-29,decrease
Canada,IDM-TVX,Infill,0.1306,U16-1204,720128,36.94,29.57,>10 - 100,Red Mountain,627,11/1/2016,IDM Mining Ltd.,No,Feasibility Started,Underground,0.1045,FALSE,-19,decrease
Cote d'Ivoire,PDI-ASX,Exploration,0.106,BRC010,709445,17.29,13.76,>10 - 100,Boundiali,631,10/13/2016,Predictive Discovery Limited,No,Target Outline,Surface,0.0844,FALSE,-20,decrease
Dem. Rep. Congo,ANL-ASX,Infill,0.0561,GRRC160,720010,70.56,55.42,>10 - 100,Giro,636,10/31/2016,Amani Gold Limited,No,Target Outline,Surface,0.0441,FALSE,-21,decrease
Mauritania,ALG-TVX,Extension,0.2578,T16RC099,720775,31.58,24.65,>10 - 100,Tijirit,637,11/2/2016,Algold Resources Limited,No,Reserves Development,Surface,0.2013,FALSE,-21,decrease
South Korea,SAU-ASX,Exploration,0.2697,KCDD0004,719643,12.51,9.71,>10 - 100,Yeongdong,640,10/28/2016,Southern Gold Limited,No,Target Outline,Surface,0.2092,FALSE,-22,decrease
Canada,RG-TVX,Exploration,0.0671,RGR-16-4,723513,11.23,8.67,>10 - 100,Lundmark-Akow Lake,643,11/7/2016,Romios Gold Resources Inc.,No,Target Outline,Surface,0.0518,FALSE,-22,decrease
Brazil,TSG-TVX,Extension,0.2231,CSH-16-146,736638,28.52,21.96,>10 - 100,Castelo de Sonhos,644,11/30/2016,"TriStar Gold, Inc.",No,Reserves Development,Surface,0.1718,FALSE,-23,decrease
Uruguay,PGD-AIMLSE,Exploration,0.0392,CHDD?004,723427,62.25,47.47,>10 - 100,Florida Belt,651,11/7/2016,Patagonia Gold Plc,No,Target Outline,Surface,0.0299,FALSE,-23,decrease
Brazil,TSG-TVX,Extension,0.2947,CSH-16-144,721256,37.53,28.51,>10 - 100,Castelo de Sonhos,656,11/1/2016,"TriStar Gold, Inc.",No,Reserves Development,Surface,0.2239,FALSE,-24,decrease
Australia,DRM-ASX,Infill,0.4525,HWAC698,719104,161.49,138.62,>100,Horse Well,541,10/27/2016,Doray Minerals Limited,No,Reserves Development,Surface,0.3884,FALSE,-14,decrease
Mongolia,ERD-TSX,Extension,0.2742,BKD-49,705378,33.22,47.18,>10 - 100,Altan Nar,14,10/4/2016,Erdene Resource Development Corporation,Yes,Reserves Development,Surface,0.3894,FALSE,42,increase
Mongolia,ERD-TSX,Extension,0.3233,BKD-57,715758,39.16,42.94,>10 - 100,Altan Nar,134,10/18/2016,Erdene Resource Development Corporation,Yes,Reserves Development,Surface,0.3544,FALSE,9,increase
Mongolia,ERD-TSX,Extension,0.2942,BKD-74,730215,37.31,44.51,>10 - 100,Altan Nar,67,11/17/2016,Erdene Resource Development Corporation,Yes,Reserves Development,Surface,0.351,FALSE,19,increase
Mongolia,ERD-TSX,Extension,0.2775,BKD-77,735547,35.19,44.59,>10 - 100,Altan Nar,41,11/28/2016,Erdene Resource Development Corporation,Yes,Reserves Development,Surface,0.3517,FALSE,26,increase
Dem. Rep. Congo,ANL-ASX,Infill,0.0404,GRRC172,743807,50.79,37.9,>10 - 100,Giro,671,12/8/2016,Amani Gold Limited,No,Target Outline,Surface,0.0301,FALSE,-25,decrease
Mongolia,ERD-TSX,Extension,0.3517,TND-101,749186,44.59,81.61,>10 - 100,Altan Nar,4,12/19/2016,Erdene Resource Development Corporation,Yes,Reserves Development,Surface,0.6435,FALSE,83,increase
Colombia,R-TSX,Extension,0.5886,SRD-0093,741094,141.8,117.63,>100,Santa Rosa,589,12/6/2016,Red Eagle Mining Corporation,Yes,Commissioning,Surface,0.4882,FALSE,-17,decrease
Mexico,AMM-TSX,Geotechnical,1.081,TU-16-470,736314,93.14,68.83,>10 - 100,Tuligtic,679,11/29/2016,Almaden Minerals Limited,No,Prefeas/Scoping,Surface,0.7988,FALSE,-26,decrease
Australia,BLK-ASX,Extension,0.5713,MARC0511,719232,162.76,129.79,>100,Matilda,628,10/27/2016,Blackham Resources Limited,Yes,Operating,Surface,0.4556,FALSE,-20,decrease
Burkina Faso,SWA-TVX,Extension,0.1185,DDH045,733620,13.21,15.33,>10 - 100,South Hounde,81,11/24/2016,Sarama Resources Limited,Yes,Reserves Development,Surface,0.1374,FALSE,15,increase
Australia,RMS-ASX,Definition,0.3386,VVDD1031,748728,177.84,238.38,>100,Vivien,25,12/19/2016,Ramelius Resources Limited,Yes,Operating,Underground,0.4538,FALSE,34,increase
Guyana,AQI-ASX,Exploration,0.2818,ARDD-015,705053,24.74,17.86,>10 - 100,Arakaka,689,10/4/2016,Alicanto Minerals Limited,No,Target Outline,Surface,0.2035,FALSE,-27,decrease
Russia,KOPY-OME,Extension,0.149,141769,727336,11.9,9.95,>10 - 100,Krasny,577,11/10/2016,Kopy Goldfields AB,Yes,Prefeas/Scoping,Surface,0.1246,FALSE,-16,decrease
Australia,SRI-ASX,Exploration,0.0153,PNA033,704182,14.24,12.01,>10 - 100,Paterson North,563,10/3/2016,Sipa Resources Limited,No,Target Outline,Surface,0.0129,FALSE,-15,decrease
Russia,KOPY-OME,Extension,0.1067,141770,754313,8.52,10.95,<10,Krasny,34,12/21/2016,Kopy Goldfields AB,Yes,Prefeas/Scoping,Surface,0.1371,FALSE,28,increase
Burkina Faso,SMF-TSX,Extension,3.1292,TPA0700,738927,1016.5,949.19,>100,Natougou,410,12/5/2016,SEMAFO Inc.,Yes,Preproduction,In Pit,2.922,FALSE,-6,decrease
Canada,CSL-TVX,Exploration,0.1657,16QVRAB012,711019,9.36,7.17,<10,QV,648,10/13/2016,Comstock Metals Limited,Yes,Reserves Development,Surface,0.1269,FALSE,-23,decrease
Canada,CSL-TVX,Extension,0.138,16QVRAB017,725121,7.8,7.16,<10,QV,442,11/8/2016,Comstock Metals Limited,Yes,Reserves Development,Surface,0.1267,FALSE,-8,decrease
Australia,KDR-ASX,Extension,0.5052,KEGR007,766832,159.58,133.23,>100,Mt Holland - Gold,579,10/3/2016,Kidman Resources Limited,No,Prefeas/Scoping,Surface,0.4217,FALSE,-16,decrease
USA,CTGO-US,Extension,18,TET16271,716927,73.32,71.28,>10 - 100,Tetlin,339,10/20/2016,"Contango ORE, Inc.",Yes,Reserves Development,Surface,17.5,FALSE,-2,decrease
USA,CTGO-US,Extension,19,TET16289,730070,82.9,95.87,>10 - 100,Tetlin,147,11/17/2016,"Contango ORE, Inc.",Yes,Reserves Development,Surface,20.5,FALSE,7,increase
