Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Tuscarora,711334,24678,USA,Gold,16TSRC-010,10/12/2016,Gold,Novo Resources Corporation,4352943,Target Outline,Yes,Surface,Extension,NVO-TVX,1.1276,1.0164,>100,101.11,94.55,-9.86%,FALSE,470,,,
Unaly Hill,719780,53232,Australia,Vanadium,UHRC025,10/31/2016,Gold,Surefire Resources NL,4348605,Advanced Exploration,No,Surface,Exploration,SRN-ASX,0.0008,0.0015,<10,1.26,2.47,93.74%,FALSE,2,,2,
Marigold,724753,24683,USA,Gold,MRA6342,11/7/2016,Gold,Silver Standard Resources Inc.,4354266,Operating,Yes,Surface,Extension,SSRM-TSX,11.4318,9.6359,>100,"1,364.37","1,150.54",-15.71%,FALSE,564,,,
McCoy/Cove,727041,24691,USA,Gold,PG16-12,11/10/2016,Gold,Premier Gold Mines Limited,4353435,Reserves Development,Yes,Underground,Extension,PG-TSX,2.106,1.7016,>100,422.37,342.55,-19.20%,FALSE,618,,,
Gold Springs,718449,24781,USA,Gold,J-16-006,10/26/2016,Gold,TriMetals Mining Inc.,4354444,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.1947,0.1781,>10 - 100,52.07,47.31,-8.53%,FALSE,446,,,
Gold Springs,748087,24781,USA,Gold,J-16-010,12/16/2016,Gold,TriMetals Mining Inc.,4354444,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.1683,0.1741,>10 - 100,45.49,48.4,3.48%,FALSE,206,,,
Wawa,735686,25803,Canada,Gold,TR-16-2A,11/29/2016,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,No,Surface,Extension,RPX-TVX,0.0708,0.0971,<10,7.47,10.52,37.04%,FALSE,20,*,7,No other results in the top ten. 7 days earlier there was another result reported by the company.
Fenelon,728889,29570,Canada,Gold,1050-005,11/16/2016,Gold,Wallbridge Mining Company Limited,4355273,Prefeas/Scoping,No,Surface,Exploration,WM-TSX,0.0334,0.0452,<10,7.41,10.01,35.20%,FALSE,23,,8,19 days after the drill result there was another result reported from the same property (gain of 8.18%). 
Lindi Jumbo,705481,70725,Tanzania,Graphite,LJTR01,10/5/2016,Graphite,Walkabout Resources Limited,4352817,Prefeas/Scoping,No,Surface,Extension,WKT-ASX,0.0528,0.0702,<10,4.59,6.79,33.01%,FALSE,30,,9,No other results in the top ten. Over two months later another result was reported from the company. 
Quito,733352,25592,USA,Gold,Q16-01,11/23/2016,Gold,Bravada Gold Corporation,4348697,Reserves Development,No,Surface,Extension,BVA-TVX,0.1416,0.1829,<10,4.88,6.33,29.16%,FALSE,33,*,10,No other results in the top ten. Two days earlier there was another drill result.
Rochester,707832,24828,USA,Silver,ROCR16-1027,10/10/2016,Silver,"Coeur Mining, Inc.",4349317,Expansion,Yes,In Pit,Discovery,CDE-US,10.96,10.99,>100,"1,836.52","1,871.88",0.27%,FALSE,252,,,
Macusani,751312,53525,Peru,U3O8,MAC16-016,12/21/2016,U3O8,Fission 3.0 Corp.,4424385,Target Outline,No,Surface,Exploration,FUU-TVX,0.0448,0.0568,<10,7.98,10.11,26.75%,FALSE,40,,,
Hermosa,705620,24881,USA,Silver,HDS-371,10/5/2016,Zinc,Arizona Mining Inc.,4355390,Prefeas/Scoping,Yes,Surface,Infill,AZ-TSX,1.7557,2.1794,>100,409.36,508.15,24.13%,FALSE,48,,7,"No other results in the top ten, all results came after the reported date. There is one result ranked 11th, so if any data shifts this could have a duplicate."
Los Domos,727733,78163,Chile,Gold,LD00013,10/25/2016,Gold,Equus Mining Limited,4348979,Exploration,No,Surface,Extension,EQE-ASX,0.0091,0.0113,<10,3.97,6.04,23.77%,FALSE,50,,,
Hermosa,706639,24881,USA,Silver,HDS-374,10/11/2016,Zinc,Arizona Mining Inc.,4355390,Prefeas/Scoping,Yes,Surface,Extension,AZ-TSX,1.9163,2.1188,>100,446.79,503.75,10.57%,FALSE,122,,,
Osu,745374,68017,South Korea,Gold,PG038 - 042,12/12/2016,Gold,Peninsula Mines Limited,4349702,Target Outline,No,Surface,Extension,PSM-ASX,0.0119,0.0145,<10,6.13,7.45,21.43%,FALSE,55,,,
Dongsugok,745618,77206,South Korea,Lithium,UBG0010,12/13/2016,Zinc,Peninsula Mines Limited,4349702,Exploration,No,In Pit,Exploration,PSM-ASX,0.012,0.0145,<10,6.17,7.45,20.68%,FALSE,60,,,
Hermosa,747599,24881,USA,Silver,HDS-359,12/15/2016,Zinc,Arizona Mining Inc.,4355390,Prefeas/Scoping,Yes,Surface,Extension,AZ-TSX,2.0308,1.9637,>100,506.82,490.07,-3.30%,FALSE,346,,,
Opawica,708104,67848,Canada,Gold,R02-001,10/11/2016,Gold,Stellar AfricaGold Inc.,4354562,Exploration,No,Surface,Exploration,SPX-TVX,0.0189,0.0224,<10,0.74,0.88,18.67%,FALSE,70,,,
Hermosa,753207,24881,USA,Silver,HDS-382,12/21/2016,Lead,Arizona Mining Inc.,4355390,Prefeas/Scoping,Yes,Surface,Extension,AZ-TSX,1.8896,1.7722,>100,471.57,442.27,-6.21%,FALSE,405,,,
Elephant Mountain,719867,76190,USA,Gold,EL16-14A,10/31/2016,Gold,Endurance Gold Corporation,4349986,Target Outline,No,Surface,Exploration,EDG-TVX,0.0374,0.0444,<10,3.77,4.47,18.61%,FALSE,73,,,
Hermosa,753565,24881,USA,Silver,HDS-361,10/25/2016,Zinc,Arizona Mining Inc.,4355390,Prefeas/Scoping,Yes,Surface,Extension,AZ-TSX,2.0969,2.2024,>100,488.91,523.64,5.03%,FALSE,184,,,
Haile,745064,25008,USA,Gold,DDH-578,12/12/2016,Gold,OceanaGold Corporation,4352997,Commissioning,Yes,Surface,Infill,OGC-TSX,2.7877,2.9149,>100,"1,703.35","1,781.05",4.56%,FALSE,191,,,
Yandera,720416,25765,Papua New Guinea,Copper,YD596,10/31/2016,Copper,Era Resources Inc.,4352065,Advanced Exploration,No,Surface,Infill,,NA,NA,NA,NA,NA,0.00%,FALSE,259,,,
Fire Creek,734947,25182,USA,Gold,FCU-0649,11/10/2016,Gold,Klondex Mines Ltd.,4351640,Operating,Yes,Underground,Extension,KDX-TSX,5.2091,4.8298,>100,777.82,721.22,-7.28%,FALSE,425,,,
Relief Canyon,725809,25251,USA,Gold,RC16-486,11/9/2016,Gold,Pershing Gold Corporation,4353299,Prefeas/Scoping,Yes,In Pit,Extension,PGLC-US,4.35,3.75,>100,114,98.27,-13.79%,FALSE,534,,,
Treaty Creek,768963,27271,Canada,Gold,E-16-05,12/28/2016,Gold,American Creek Resources Ltd.,4347990,Target Outline,No,Surface,Extension,AMK-TVX,0.037,0.0421,<10,8.18,9.65,13.81%,FALSE,94,,,
Red Brook,727633,78149,Canada,Zinc,RRB16-03,10/3/2016,Zinc,Puma Exploration Inc.,4353567,Exploration,No,Surface,Exploration,PUM-TVX,0.0495,0.0563,<10,6.53,7.43,13.71%,FALSE,98,,,
Baxter,731420,53864,USA,Gold,BAX16-18,11/21/2016,Gold,Bravada Gold Corporation,4348697,Target Outline,No,Surface,Extension,BVA-TVX,0.1627,0.1823,<10,5.61,6.31,12.05%,FALSE,108,,,
Cuitaboca,730441,29381,Mexico,Silver,RC16CT-19,11/18/2016,Silver,Santana Minerals Limited,4391733,Target Outline,No,Surface,Extension,SMI-ASX,0.0314,0.0351,<10,8.18,9.13,11.70%,FALSE,109,,,
Relief Canyon,730136,25251,USA,Gold,RC16-487,11/17/2016,Gold,Pershing Gold Corporation,4353299,Prefeas/Scoping,Yes,In Pit,Extension,PGLC-US,4.02,3.58,>100,105.35,101.72,-10.95%,FALSE,491,,,
Cerro Oro,733635,66619,Colombia,Gold,CO-001,11/24/2016,Gold,Miranda Gold Corporation,4352512,Target Outline,No,Surface,Extension,MAD-TVX,0.0518,0.0573,<10,5.36,5.92,10.46%,FALSE,123,,,
