Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Yamarna,971280,29364,Australia,Gold,6/27/2017,Gold Road Resources Limited,4350538,Gold,17CWRC0037,Construction Started,Yes,Surface,Definition,"12,168.47",GOR-ASX,0.524,0.532,>100,456.65,463.71,1.50%,286,,,
La Trinidad,905882,34181,Mexico,Gold,5/24/2017,Marlin Gold Mining Ltd.,4353107,Gold,17TRD50,Operating,No,In Pit,Infill,"8,551.74",MLN-TVX,0.534,0.605,>10 - 100,91.93,104.07,13.30%,101,,,
Orenada,891577,25882,Canada,Gold,4/27/2017,Alexandria Minerals Corporation,4347896,Gold,OAX-17-098,Prefeas/Scoping,Yes,In Pit,Extension,"2,205.30",AZX-TVX,0.055,0.063,>10 - 100,26.24,29.66,13.00%,102,,,
Madsen,899171,28195,Canada,Gold,5/11/2017,Pure Gold Mining Inc.,4351773,Gold,PG17-364,Prefeas/Scoping,Yes,Underground,Extension,"6,650.34",PGM-TVX,0.381,0.429,>10 - 100,72.92,82.24,12.80%,104,,,
Suplejack,924643,33823,Australia,Gold,6/23/2017,ABM Resources NL,4347760,Gold,SSRC100001,Reserves Development,No,Surface,Extension,770.042,ABU-ASX,0.072,0.073,>10 - 100,27.04,27.53,1.40%,291,,,
Thalanga,904147,25699,Australia,Zinc,5/22/2017,Red River Resources Limited,4353695,Zinc,LTED07,Preproduction,No,Surface,Extension,"1,023.80",RVR-ASX,0.13,0.147,>10 - 100,61.51,69.34,12.70%,106,,,
Commonwealth,901037,24465,USA,Gold,5/15/2017,Marlin Gold Mining Ltd.,4353107,Silver,17CDDH26,Prefeas/Scoping,Yes,Surface,Extension,"5,939.70",MLN-TVX,0.546,0.614,>10 - 100,94.07,105.64,12.40%,107,,,
Pamlico,879460,53347,USA,Gold,4/11/2017,Newrange Gold Corp,4349331,Gold,NG_DD1_4.11.2017,Exploration,Yes,Surface,Exploration,"9,327.72",NRG-TVX,0.228,0.256,>10 - 100,13.32,15.73,12.30%,110,,,
Kalgoorlie,915178,30696,Australia,Nickel,6/13/2017,Ardea Resources Limited,4432294,Scandium,ABR0006,Prefeas/Scoping,Yes,Surface,Definition,"5,134.93",ARL-ASX,0.403,0.451,>10 - 100,24.96,27.96,12.00%,114,,,
Matilda,904142,39910,Australia,Gold,5/22/2017,Blackham Resources Limited,4242009,Gold,WUDD0016,Expansion,Yes,Underground,Extension,"9,169.16",BLK-ASX,0.227,0.23,>10 - 100,76.83,77.84,1.20%,295,,,
Commonwealth,896346,24465,USA,Gold,5/4/2017,Marlin Gold Mining Ltd.,4353107,Gold,17CDDH24,Prefeas/Scoping,No,Surface,Metallurgical,"2,549.52",MLN-TVX,0.525,0.588,>10 - 100,90.44,101.16,11.90%,116,,,
Wilcherry Hill,871850,35406,Australia,Gold,4/3/2017,Alliance Resources Limited,4347916,Gold,17WDRC017,Feasibility,Yes,Surface,Extension,"21,389.59",AGS-ASX,0.066,0.066,<10,6.84,6.9,0.90%,299,,,
Avino,887694,26257,Mexico,Silver,4/25/2017,Avino Silver & Gold Mines Ltd.,4348363,Gold,ET-17-09,Operating,No,Underground,Infill,"2,834.24",ASM-TVX,1.468,1.64,>10 - 100,76.94,85.98,11.80%,120,,,
Snake Well,896288,26663,Australia,Gold,5/5/2017,Kalamazoo Resources Limited,4472316,Gold,17KZRC005,Prefeas/Scoping,Yes,Surface,Extension,"1,619.64",KZR-ASX,0.081,0.082,<10,6.79,6.85,0.90%,300,,,
