Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Sepeda,788802,77640,Portugal,Lithium,SC016,1/9/2017,Lithium,Dakota Minerals Limited,4353119,Prefeas/Scoping,Yes,Surface,Exploration,NLI-ASX,0.05,0.04,>10 - 100,17.85,16.21,-9.13%,FALSE,535,,,
Arno,799044,66878,Australia,Graphite,16SIVDD067,1/19/2017,Graphite,Renascor Resources Limited,4353738,Reserves Development,Yes,Surface,Extension,RNU-ASX,0.02,0.02,>10 - 100,10.59,9.61,-9.27%,FALSE,537,,,
Pilgangoora South,798147,77054,Australia,Lithium,MCRC0011,1/19/2017,Lithium,Metalicity Limited,4528284,Target Outline,No,Surface,Exploration,MCT-ASX,0.06,0.05,>10 - 100,26.33,23.88,-9.32%,FALSE,539,,,
Warrentinna,807110,37356,Australia,Gold,WTR038,1/31/2017,Gold,Greatland Gold Plc,4350797,Target Outline,No,Surface,Exploration,GGP-AIMLSE,0,0,<10,6.33,6.76,-3.56%,FALSE,443,,,
Mt Morgans,800259,25662,Australia,Gold,16JUAC0568,1/23/2017,Gold,Dacian Gold Limited,4379662,Construction Started,No,Surface,Extension,DCN-ASX,1.91,1.84,>100,288.31,277.24,-3.84%,FALSE,448,,,
Block 4,849619,70774,Oman,Copper,16B4DD005,2/28/2017,Zinc,Savannah Resources Plc,4356041,Target Outline,Yes,Surface,Extension,SAV-AIMLSE,0.07,0.06,>10 - 100,34.51,31.76,-9.45%,FALSE,542,,,
Yeneena,798117,36649,Australia,Copper,ETG0002,1/19/2017,Gold,Encounter Resources Limited,4349979,Target Outline,Yes,Surface,Exploration,ENR-ASX,0.07,0.07,>10 - 100,11.2,10.14,-9.46%,FALSE,544,,,
Kipushi Cobalt-Copper Tailings,867452,78525,Dem. Rep. Congo,Cobalt,KT003,3/29/2017,Cobalt,Cape Lambert Resources Limited,4348927,Commissioning,No,Surface,Extension,CFE-ASX,0.03,0.02,>10 - 100,19.81,17.93,-9.49%,FALSE,545,,,
Martiniere,809197,30724,Canada,Gold,MDE-16-256,2/2/2017,Gold,Balmoral Resources Ltd.,4348424,Target Outline,Yes,Surface,Extension,BAR-TSX,0.69,0.62,>10 - 100,86.35,78.04,-9.62%,FALSE,546,,,
Ulysses,802799,76171,Australia,Gold,16USAC273,1/25/2017,Gold,Genesis Minerals Limited,4350380,Limited Production,No,Surface,Extension,GMD-ASX,0.02,0.01,>10 - 100,11.19,10.72,-4.14%,FALSE,453,,,
Epanko,868937,65639,Tanzania,Graphite,MHDD039,3/31/2017,Graphite,Kibaran Resources Limited,4361738,Feasibility Complete,Yes,Surface,Extension,KNL-ASX,0.14,0.12,>10 - 100,33.6,30.25,-9.96%,FALSE,550,,,
Paisali,827657,37201,Thailand,Iron Ore,SCDD007-18,2/14/2017,Copper,Matsa Resources Limited,4352116,Exploration,No,Surface,Exploration,MAT-ASX,0.2,0.18,>10 - 100,29.3,26.37,-10.01%,FALSE,551,,,
Ancuabe,863134,65823,Mozambique,Graphite,IVD030,3/24/2017,Graphite,Triton Minerals Limited,4367118,Prefeas/Scoping,No,Surface,Extension,TON-ASX,0.06,0.05,>10 - 100,37.72,33.93,-10.05%,FALSE,552,,,
Sulphur Springs,792189,28337,Australia,Copper,16VSCD009,1/12/2017,Zinc,Venturex Resources Limited,4355196,Feasibility Complete,Yes,Surface,Extension,VXR-ASX,0.01,0.01,>10 - 100,15.39,13.83,-10.17%,FALSE,554,,,
Lone Mountain,791400,35583,USA,Zinc,NLM-16-71,1/11/2017,Zinc,Nevada Zinc Corporation,4350633,Target Outline,Yes,Surface,Extension,NZN-TVX,0.39,0.35,>10 - 100,26.24,23.54,-10.27%,FALSE,559,,,
Red Bore,799069,37778,Australia,Copper,TGGRC053,1/19/2017,Gold,Thundelarra Limited,4354838,Reserves Development,No,Surface,Extension,THX-ASX,0.05,0.05,>10 - 100,22.42,20.1,-10.37%,FALSE,560,,,
Kainantu,813896,31239,Papua New Guinea,Gold,K92RC_08010,2/9/2017,Gold,K92 Mining Inc.,4494844,Operating,No,Surface,Exploration,KNT-TVX,0.82,0.73,>10 - 100,97.96,87.72,-10.46%,FALSE,561,,,
Tammela,844924,41781,Finland,Lithium,R390,2/22/2017,Gold,Avalon Minerals Limited,4348352,Target Outline,No,Surface,Exploration,AVI-ASX,0.02,0.01,>10 - 100,10.48,9.37,-10.61%,FALSE,563,,,
Snow Lake,796196,36005,Canada,Copper,TB-016,1/18/2017,Copper,Rockcliff Copper Corporation,4354421,Reserves Development,Yes,Surface,Extension,RCU-TVX,0.08,0.07,>10 - 100,10.43,9.32,-10.62%,FALSE,564,,,
Karankasso,851005,49877,Burkina Faso,Gold,HE-RC-17-019,3/3/2017,Gold,Savary Gold Corp.,4365625,Reserves Development,Yes,Surface,Extension,SCA-TVX,0.07,0.06,>10 - 100,12.21,10.9,-10.75%,FALSE,566,,,
Wawa,850805,25803,Canada,Gold,DG-17-56,3/3/2017,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.1,0.09,>10 - 100,26,23.2,-10.75%,FALSE,567,,,
O'Brien,835037,26534,Canada,Gold,OB16-12,2/14/2017,Gold,Radisson Mining Resources Inc.,4353620,Prefeas/Scoping,Yes,Surface,Extension,RDS-TVX,0.13,0.12,>10 - 100,14.27,12.73,-10.75%,FALSE,568,,,
Leonora,810938,28500,Australia,Gold,MT17RC038,2/6/2017,Gold,Kin Mining NL,4361760,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.15,>10 - 100,18.47,17.57,-4.82%,FALSE,461,,,
Makabingui,805666,36500,Senegal,Gold,RCM103,1/27/2017,Gold,Bassari Resources Limited,4348479,Feasibility Complete,Yes,Surface,Extension,BSR-ASX,0.02,0.02,>10 - 100,44.06,39.27,-10.87%,FALSE,571,,,
Babonga,847841,63728,Burkina Faso,Gold,BABAC011,2/27/2017,Gold,Golden Rim Resources Limited,4350595,Target Outline,No,Surface,Discovery,GMR-ASX,0.01,0.01,>10 - 100,12.36,11,-11.04%,FALSE,574,,,
Claudia,843478,34615,Argentina,Gold,MR_02_02.17.2017,2/17/2017,Silver,Mirasol Resources Ltd.,4352514,Target Outline,No,Surface,Exploration,MRZ-TVX,1.51,1.34,>10 - 100,73.81,65.45,-11.12%,FALSE,575,,,
Tuvatu,835920,30062,Fiji,Gold,TUDDH 419,2/14/2017,Gold,Lion One Metals Limited,4351844,Prefeas/Scoping,No,Surface,Infill,LIO-TVX,0.68,0.6,>10 - 100,69.15,61.49,-11.16%,FALSE,576,,,
El Cobre,772717,49876,Mexico,Copper,EC-16-016,1/3/2017,Gold,Almadex Minerals Limited,4605234,Target Outline,Yes,Surface,Extension,AMZ-TVX,1.36,1.2,>10 - 100,60.16,53.31,-11.37%,FALSE,588,,,
Arcadia V,825349,77458,Zimbabwe,Lithium,ACD050,2/14/2017,Lithium,Prospect Resources Limited,4353472,Prefeas/Scoping,Yes,In Pit,Exploration,PSC-ASX,0.02,0.02,>10 - 100,32.89,29.05,-11.68%,FALSE,592,,,
Lac la Hache,799215,31535,Canada,Copper,AZS16-62,1/18/2017,Copper,Engold Mines Ltd.,4350900,Reserves Development,Yes,Surface,Extension,EGM-TVX,0.14,0.12,>10 - 100,23.97,21.2,-11.72%,FALSE,593,,,
Dalgaranga,802734,29405,Australia,Gold,DGRC276,1/25/2017,Gold,Gascoyne Resources Limited,4350345,Feasibility Complete,Yes,Surface,Extension,GCY-ASX,0.47,0.45,>100,121.47,119.65,-5.55%,FALSE,479,,,
Zuleika,851685,76209,Australia,Gold,ZRB504,3/7/2017,Gold,Torian Resources Limited,4354932,Target Outline,No,Surface,Exploration,TNR-ASX,0.11,0.11,>10 - 100,11.21,10.5,-6.33%,FALSE,487,,,
Paguanta,851517,35600,Chile,Zinc,PTDD-17-131,3/7/2017,Zinc,Golden Rim Resources Limited,4350595,Feasibility,No,Surface,Infill,GMR-ASX,0.01,0.01,>10 - 100,10.86,9.54,-12.19%,FALSE,600,,,
Moyagee,863856,29894,Australia,Gold,17MORC003,3/27/2017,Gold,Silver Lake Resources Limited,4354253,Reserves Development,No,Surface,Extension,SLR-ASX,0.45,0.42,>100,226.46,212.04,-6.37%,FALSE,489,,,
North Bullfrog,847348,25256,USA,Gold,NB-17-329,2/23/2017,Gold,Corvus Gold Inc.,4349548,Prefeas/Scoping,Yes,Surface,Extension,KOR-TSX,0.71,0.62,>10 - 100,65.15,56.98,-12.53%,FALSE,604,,,
Overflow,867454,32357,Australia,Gold,OFDD-001,3/29/2017,Gold,Alchemy Resources Limited,4347882,Target Outline,Yes,Surface,Exploration,ALY-ASX,0.01,0.01,<10,3.35,3.13,-6.45%,FALSE,491,,,
Katanning,825326,37922,Australia,Gold,BSRC0742,2/14/2017,Gold,Ausgold Limited,4348322,Prefeas/Scoping,No,Surface,Extension,AUC-ASX,0.02,0.02,<10,8.57,7.98,-6.85%,FALSE,492,,,
Ives Find,845330,77535,Australia,Gold,IFRC005,2/22/2017,Gold,Great Western Exploration Limited,4350794,Target Outline,Yes,Surface,Extension,GTE-ASX,0.01,0.01,<10,7.06,6.56,-7.01%,FALSE,493,,,
Kempfield,859208,30551,Australia,Silver,AKDD200,3/15/2017,Silver,Argent Minerals Limited,4348141,Feasibility Started,Yes,Surface,Extension,ARD-ASX,0.04,0.03,>10 - 100,12.85,11.18,-13.01%,FALSE,613,,,
Makabingui,803250,36500,Senegal,Gold,RCM084,1/25/2017,Gold,Bassari Resources Limited,4348479,Feasibility Complete,Yes,Surface,Extension,BSR-ASX,0.02,0.02,>10 - 100,40.09,34.87,-13.01%,FALSE,614,,,
Moyagee,860426,29894,Australia,Gold,17MORC002,3/17/2017,Gold,Musgrave Minerals Limited,4352640,Reserves Development,Yes,Surface,Extension,MGV-ASX,0.07,0.06,>10 - 100,12.16,11.29,-7.18%,FALSE,497,,,
Hayes Creek,796668,27039,Australia,Zinc,MBRC041D,1/18/2017,Zinc,PNX Metals Limited,4353335,Prefeas/Scoping,Yes,Surface,Extension,PNX-ASX,0.02,0.02,>10 - 100,15.55,13.48,-13.32%,FALSE,617,,,
El Tigre,851941,39334,Mexico,Silver,ET-16-110,3/6/2017,Gold,Oceanus Resources Corporation,4363998,Prefeas/Scoping,No,Surface,Infill,OCN-TVX,0.16,0.14,>10 - 100,20.56,17.8,-13.42%,FALSE,618,,,
Sepeda,843591,77640,Portugal,Lithium,SDD002,2/20/2017,Lithium,Dakota Minerals Limited,4353119,Prefeas/Scoping,Yes,Surface,Extension,NLI-ASX,0.05,0.04,>10 - 100,18.41,16.21,-13.55%,FALSE,619,,,
Seymour Lake,812183,32093,Canada,Lithium,SL-16-63,2/8/2017,Lithium,Ardiden Limited,4354600,Target Outline,Yes,Surface,Extension,ADV-ASX,0.02,0.02,>10 - 100,17.5,15.12,-13.59%,FALSE,620,,,
Isabel,809464,38033,Solomon Islands,Nickel,SJ-074,2/3/2017,Nickel,Axiom Mining Limited,4348372,Prefeas/Scoping,Yes,Surface,Extension,AVQ-ASX,0.16,0.14,>10 - 100,54.37,46.84,-13.85%,FALSE,621,,,
Redcliffe,868866,34665,Australia,Gold,GTRC410,3/31/2017,Gold,NTM Gold Limited,4352907,Feasibility Started,Yes,Surface,Extension,NTM-ASX,0.05,0.05,>10 - 100,13.4,12.51,-7.47%,FALSE,503,,,
Tennant Creek Mineral Field,844398,36235,Australia,Copper,EBWDD054,2/21/2017,Gold,Emmerson Resources Limited,4349948,Reserves Development,No,Underground,Extension,ERM-ASX,0.08,0.07,>10 - 100,32.02,27.58,-13.87%,FALSE,623,,,
Orenada,797838,25882,Canada,Gold,OAX-16-080,1/18/2017,Gold,Alexandria Minerals Corporation,4347896,Prefeas/Scoping,No,Surface,Extension,AZX-TVX,0.06,0.05,>10 - 100,24.99,21.51,-13.93%,FALSE,624,,,
Bougouni,859240,78022,Mali,Lithium,MDTR005,3/14/2017,Lithium,Kodal Minerals Plc,4533605,Target Outline,Yes,Surface,Extension,KOD-AIMLSE,0,0,>10 - 100,21.08,18.14,-13.94%,FALSE,625,,,
La Esperanza,813884,34593,Mexico,Silver,ES-16-12,2/9/2017,Zinc,Canasil Resources Incorporated,4348898,Target Outline,No,Surface,Exploration,CLZ-TVX,0.15,0.13,>10 - 100,15.09,12.98,-13.97%,FALSE,626,,,
CAA/Portalegre,795971,75932,Portugal,Gold,SMD009,1/17/2017,Gold,W Resources Plc,4367578,Reserves Development,Yes,Surface,Extension,WRES-AIMLSE,0.01,0,>10 - 100,25.25,21.7,-14.06%,FALSE,627,,,
