Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Manitouwadge,864549,65215,Canada,Graphite,MW-16-11,3/24/2017,Graphite,Ardiden Limited,4354600,Target Outline,Yes,Surface,Exploration,ADV-ASX,0.02,0.01,>10 - 100,14.4,11.8,-18.04%,FALSE,677,,,
Red Bore,815599,37778,Australia,Copper,TGGRC048,2/13/2017,Gold,Thundelarra Limited,4354838,Reserves Development,No,Surface,Extension,THX-ASX,0.05,0.04,>10 - 100,21.12,17.3,-18.08%,FALSE,678,,,
Finniss,843889,77623,Australia,Lithium,FRC038,2/21/2017,Lithium,Core Exploration Limited,4349515,Target Outline,Yes,Surface,Extension,CXO-ASX,0.07,0.06,>10 - 100,25.25,20.67,-18.13%,FALSE,679,,,
Glor,861078,75720,Mexico,Gold,Tr-01,3/21/2017,Gold,Riverside Resources Inc.,4353835,Target Outline,Yes,Surface,Exploration,RRI-TVX,0.4,0.33,>10 - 100,17.72,14.43,-18.56%,FALSE,681,,,
Wawa,790279,25803,Canada,Gold,U0722L5,1/10/2017,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.12,0.1,>10 - 100,12.71,10.35,-18.60%,FALSE,682,,,
Kainantu,848534,31239,Papua New Guinea,Gold,GCDD0023,2/27/2017,Gold,K92 Mining Inc.,4494844,Operating,Yes,Surface,Extension,KNT-TVX,0.76,0.61,>10 - 100,90.24,73.29,-18.82%,FALSE,684,,,
Wawa,848840,25803,Canada,Gold,SD-16-45,2/28/2017,Gold,Red Pine Exploration Inc.,4353694,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.11,0.09,>10 - 100,28.54,23.16,-18.85%,FALSE,685,,,
Silver Cliff,799342,64719,USA,Silver,K16-01,1/19/2017,Silver,Viscount Mining Corp.,4438100,Target Outline,Yes,Surface,Extension,VML-TVX,0.53,0.43,>10 - 100,21.31,17.18,-19.36%,FALSE,688,,,
Clarence Stream,866872,31842,Canada,Gold,AD17-96,3/28/2017,Gold,Galway Metals Inc.,4379683,Reserves Development,Yes,Surface,Extension,GWM-TVX,0.3,0.24,>10 - 100,17.46,14.87,-19.37%,FALSE,689,,,
Gorno,863482,50797,Italy,Zinc,GDD147,3/24/2017,Zinc,Energia Minerals Limited,4349988,Feasibility Started,Yes,Surface,Extension,EMX-ASX,0.03,0.03,>10 - 100,28.74,23.16,-19.39%,FALSE,690,,,
Abcourt-Barvue,845337,25717,Canada,Zinc,AB16-10,2/21/2017,Zinc,Abcourt Mines Inc.,4347750,Feasibility,No,Surface,Extension,ABI-TVX,0.09,0.07,>10 - 100,24.27,19.54,-19.49%,FALSE,692,,,
Dandoko,874300,50800,Mali,Gold,ACSEK17-018,3/30/2017,Gold,Oklo Resources Limited,4353029,Target Outline,Yes,Surface,Exploration,OKU-ASX,0.23,0.19,>10 - 100,56.37,45.3,-19.64%,FALSE,694,,,
Golden Highway,851737,29163,Canada,Gold,MGH16-015,3/6/2017,Gold,Moneta Porcupine Mines Inc.,4352553,Prefeas/Scoping,Yes,Surface,Extension,ME-TSX,0.17,0.13,>10 - 100,40.1,32.16,-19.80%,FALSE,696,,,
El Promontorio,793956,28928,Mexico,Copper,APR-DD-129,1/13/2017,Copper,Azure Minerals Limited,4348387,Prefeas/Scoping,Yes,Surface,Extension,AZS-ASX,0.02,0.01,>10 - 100,28.86,23.13,-19.84%,FALSE,697,,,
Martiniere,835948,30724,Canada,Gold,MDE-16-253A,2/15/2017,Gold,Balmoral Resources Ltd.,4348424,Target Outline,Yes,Surface,Exploration,BAR-TSX,0.71,0.57,>10 - 100,89.27,71.1,-20.35%,FALSE,698,,,
Giro,794246,50785,Dem. Rep. Congo,Gold,GRRC189,1/16/2017,Gold,Amani Gold Limited,4348798,Target Outline,No,Surface,Infill,ANL-ASX,0.04,0.03,>10 - 100,45.22,35.77,-20.89%,FALSE,699,,,
Red Bore,812166,37778,Australia,Copper,TGGRC044,2/8/2017,Gold,Thundelarra Limited,4354838,Reserves Development,No,Surface,Extension,THX-ASX,0.05,0.04,>10 - 100,22.29,17.59,-21.10%,FALSE,700,,,
Mexican Hat,844602,27183,USA,Gold,GMV 2016-8,2/21/2017,Gold,GMV Minerals Inc.,4360051,Reserves Development,No,Surface,Extension,GMV-TVX,0.37,0.29,>10 - 100,11.97,9.39,-21.63%,FALSE,702,,,
Amarillo Grande,866936,56892,Argentina,U3O8,AGI-0005,3/28/2017,U3O8,Blue Sky Uranium Corp.,4348637,Target Outline,No,Surface,Exploration,BSK-TVX,0.31,0.24,>10 - 100,14.37,11.79,-22.29%,FALSE,705,,,
Pine,799305,34239,Canada,Copper,95-02-DPN,1/19/2017,Copper,Callinex Mines Inc.,4348845,Reserves Development,No,Surface,Extension,CNX-TVX,0.33,0.26,>10 - 100,25.78,20.02,-22.34%,FALSE,706,,,
Mt Edwards,810470,78158,Australia,Lithium,WID1045,2/3/2017,Tantalum,Estrella Resources Limited,4350054,Exploration,No,Surface,Exploration,ESR-ASX,0.06,0.05,>10 - 100,21.89,17.23,-22.78%,FALSE,707,,,
Costerfield,806164,26728,Australia,Gold,BD265,1/27/2017,Gold,Mandalay Resources Corporation,4352032,Operating,Yes,Surface,Extension,MND-TSX,0.66,0.61,>100,299.63,276.29,-7.79%,FALSE,510,,,
Leonora,845044,28500,Australia,Gold,RN17RC025,2/22/2017,Gold,Kin Mining NL,4361760,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.15,>10 - 100,18.86,17.9,-8.09%,FALSE,515,,,
Las Chispas,850193,77989,Mexico,Silver,UB17-05,3/2/2017,Silver,SilverCrest Metals Inc.,4677325,Target Outline,Yes,Underground,Exploration,SIL-TVX,1.98,1.51,>10 - 100,95.18,72.8,-23.52%,FALSE,712,,,
Rompas,844636,38046,Finland,Gold,PAL0030,2/21/2017,Gold,Mawson Resources Limited,4352121,Target Outline,Yes,Surface,Extension,MAW-TSX,0.42,0.32,>10 - 100,44.18,33.66,-23.81%,FALSE,713,,,
Duketon,812325,29079,Australia,Nickel,DKRC0056,2/8/2017,Gold,Duketon Mining Limited,4389593,Reserves Development,Yes,Surface,Extension,DKM-ASX,0.15,0.12,>10 - 100,15.74,11.9,-24.39%,FALSE,715,,,
Red Hill,811703,65471,USA,Gold,AV-4C,2/7/2017,Gold,NuLegacy Gold Corporation,4352965,Target Outline,No,Surface,Extension,NUG-TVX,0.26,0.2,>10 - 100,76.93,58.13,-24.43%,FALSE,716,,,
Hayes Creek,868441,27039,Australia,Zinc,IBDH060,3/30/2017,Gold,PNX Metals Limited,4353335,Prefeas/Scoping,Yes,Surface,Extension,PNX-ASX,0.02,0.01,>10 - 100,11.84,8.84,-25.30%,FALSE,719,,,
Finniss,811600,77623,Australia,Lithium,FRC074,2/7/2017,Lithium,Core Exploration Limited,4349515,Target Outline,Yes,Surface,Extension,CXO-ASX,0.08,0.06,>10 - 100,29.95,22.1,-26.19%,FALSE,723,,,
Hayes Creek,858772,27039,Australia,Zinc,IBRC030D,3/15/2017,Zinc,PNX Metals Limited,4353335,Prefeas/Scoping,No,Surface,Infill,PNX-ASX,0.02,0.01,>10 - 100,12.83,9.45,-26.29%,FALSE,724,,,
Madison,861940,25381,USA,Gold,C17-03,3/21/2017,Gold,Broadway Gold Mining Ltd.,4526468,Target Outline,Yes,Surface,Extension,BRD-TVX,1.2,0.88,>10 - 100,39.75,29.06,-26.91%,FALSE,727,,,
Mexican Hat,848449,27183,USA,Gold,GMV 2016-11,2/27/2017,Gold,GMV Minerals Inc.,4360051,Reserves Development,Yes,Surface,Extension,GMV-TVX,0.39,0.28,>10 - 100,12.6,9.2,-26.97%,FALSE,728,,,
Geita,792299,54455,Tanzania,Gold,MRC017,1/12/2017,Gold,Tanga Resources Limited,4348144,Target Outline,No,Surface,Extension,TRL-ASX,0.04,0.03,>10 - 100,14.43,10.37,-28.14%,FALSE,736,,,
Lac Surprise,853803,52463,Canada,Gold,BP-17-04,3/9/2017,Gold,Northern Superior Resources Inc.,4352918,Target Outline,No,Surface,Exploration,SUP-TVX,0.05,0.04,>10 - 100,16.56,11.9,-28.14%,FALSE,737,,,
Goongarrie Lady,825283,30862,Australia,Gold,GLRC1603,2/14/2017,Gold,Intermin Resources Limited,4351260,Feasibility Started,Yes,Surface,Extension,IRC-ASX,0.08,0.07,>10 - 100,15.91,14.61,-8.21%,FALSE,516,,,
Mt Edwards,848624,78158,Australia,Lithium,MERC0002,2/28/2017,Lithium,Estrella Resources Limited,4350054,Target Outline,No,Surface,Exploration,ESR-ASX,0.05,0.03,>10 - 100,16.61,11.73,-30.73%,FALSE,742,,,
Catamarca,851993,78214,Argentina,Lithium,RDMRC002,3/8/2017,Lithium,Latin Resources Limited,4351771,Target Outline,Yes,Surface,Exploration,LRS-ASX,0.02,0.01,>10 - 100,24.78,17.09,-32.96%,FALSE,743,,,
Manindi,848073,32955,Australia,Zinc,MND057,2/27/2017,Zinc,Metals Australia Limited,4352231,Prefeas/Scoping,Yes,Surface,Extension,MLS-ASX,0.01,0.01,>10 - 100,12.09,8.07,-33.28%,FALSE,744,,,
Mt Cattlin,843449,78228,Australia,Lithium,KRRC019,2/20/2017,Lithium,Kingston Resources Limited,4418930,Target Outline,No,Surface,Exploration,KSN-ASX,0.02,0.02,>10 - 100,15.83,10.55,-33.36%,FALSE,745,,,
Kenora,859282,70719,Canada,Gold,KG17-08,3/15/2017,Gold,Canstar Resources Inc.,4348916,Target Outline,No,Surface,Exploration,ROX-TVX,0.14,0.09,>10 - 100,14.13,9.18,-34.96%,FALSE,746,,,
Bougouni,809318,78022,Mali,Lithium,KLRC001,2/2/2017,Lithium,Kodal Minerals Plc,4533605,Target Outline,Yes,Surface,Exploration,KOD-AIMLSE,0.01,0,>10 - 100,29.05,18.22,-37.28%,FALSE,748,,,
Zulema,849068,32686,Chile,Copper,Drill Hole # 3,2/27/2017,Copper,Chilean Metals Inc.,4351296,Target Outline,No,Surface,Exploration,CMX-TVX,0.19,0.12,>10 - 100,14.66,9.04,-38.50%,FALSE,750,,,
Lewis,844655,32393,USA,Gold,BVM16C-02,2/21/2017,Gold,Battle Mountain Gold Inc.,4351972,Target Outline,No,Surface,Extension,,NA,NA,NA,NA,NA,0.00%,FALSE,350,,,
Rothsay,810993,26961,Australia,Gold,RYDD012,2/6/2017,Gold,Egan Street Resources Limited,4348303,Feasibility Started,No,Surface,Infill,EGA-ASX,0.18,0.17,>10 - 100,10.59,9.7,-8.39%,FALSE,526,,,
Bougouni,813391,78022,Mali,Lithium,KLRC002,2/8/2017,Lithium,Kodal Minerals Plc,4533605,Target Outline,Yes,Surface,Exploration,KOD-AIMLSE,0.01,0,>10 - 100,29.12,15.6,-46.42%,FALSE,757,,,
Lynn Lake,858909,27307,Canada,Nickel,FLC-2017-003,3/15/2017,Nickel,Corazon Mining Limited,4349511,Prefeas/Scoping,No,Surface,Extension,CZN-ASX,0.04,0.02,>10 - 100,32.03,15.63,-51.20%,FALSE,758,,,
Forrestania,864157,78241,Australia,Lithium,GPRC26,3/27/2017,Lithium,Marindi Metals Limited,4348775,Target Outline,No,Surface,Extension,MZN-ASX,0.02,0.01,>10 - 100,21.24,10.07,-52.60%,FALSE,759,,,
Hat,835788,52424,Canada,Copper,H023,2/15/2017,Copper,Doubleview Capital Corp.,4358887,Target Outline,Yes,Surface,Extension,DBV-TVX,0.13,0.06,>10 - 100,10.26,4.53,-57.00%,FALSE,760,,,
Niangouela,792850,78267,Burkina Faso,Gold,NG_RAB_1.11.2017,1/11/2017,Gold,Nexus Gold Corp.,4356148,Target Outline,No,Surface,Exploration,NXS-TVX,0.09,0.22,<10,8.49,21.56,140.89%,FALSE,3,,1,
Suva Ruda,794831,57077,Serbia,Copper,RDD-001,1/16/2017,Gold,Tethyan Resources Plc,4354984,Target Outline,Yes,Surface,Exploration,TETH-AIMLSE,0.04,0.08,<10,5.56,11.65,109.62%,FALSE,6,,2,"One other result in the top ten, the 1/25/2017 result was removed as a duplicate."
Silverton,789160,76714,USA,Gold,OS-2,1/9/2017,Gold,Orogen Gold Plc,4364149,Exploration,No,Surface,Exploration,ORE-AIMLSE,0.03,0.06,<10,0.97,1.97,103.74%,FALSE,8,,3,
Zoro 1,807098,38100,Canada,Lithium,DDHFAR16-007,1/30/2017,Lithium,Far Resources Ltd.,4359468,Target Outline,Yes,Surface,Exploration,FAT-CNQ,0.05,0.08,<10,2.87,4.87,69.41%,FALSE,11,,4,No other results in the top ten. 21 days earlier there was another drill result.
Triumph,801894,51016,Australia,Gold,TDH098,1/24/2017,Gold,Metal Bank Limited,4362686,Target Outline,No,Surface,Extension,MBK-ASX,0.02,0.02,>10 - 100,17.28,15.79,-8.65%,FALSE,529,,,
Saturday Night,801763,76063,Canada,Nickel,SN-16-001,1/23/2017,Platinum,Transition Metals Corp.,4367055,Grassroots,No,Surface,Exploration,XTM-TVX,0.1,0.17,<10,3.41,5.68,66.18%,FALSE,14,,6,No duplicates in the top ten. All other results came afterward. 
Kempfield,807855,30551,Australia,Silver,AKDD197,2/2/2017,Gold,Argent Minerals Limited,4348141,Feasibility Started,No,Surface,Extension,ARD-ASX,0.02,0.03,<10,7.35,11.36,54.24%,FALSE,25,,7,"After the 20 day period, company was in the above 10M, less than 100M market cap. This Market Cap range is sustained until about 1 and half months later."
Los Chapitos,791020,60068,Peru,Copper,CMC_CS_01.11.17,1/10/2017,Copper,Camino Minerals Corporation,4348860,Exploration,Yes,Surface,Exploration,COR-TVX,0.16,0.24,<10,3.9,5.99,53.80%,FALSE,26,,8,
Ox Mountains,788469,52343,Ireland,Gold,3382-008,1/3/2017,Gold,Playfair Mining Ltd.,4353388,Target Outline,No,Surface,Exploration,PLY-TVX,0.04,0.07,<10,2.29,3.46,51.22%,FALSE,27,,9,
Suva Ruda,805276,57077,Serbia,Copper,RDD-004,1/25/2017,Copper,Tethyan Resources Plc,4354984,Target Outline,Yes,Surface,Exploration,TETH-AIMLSE,0.05,0.07,<10,7.76,10.92,40.63%,FALSE,31,,,"One other result in the top ten, the higher ranking result from 1/16/2017 result was retained."
Yongwon,792287,77923,South Korea,Graphite,YCH0001,1/12/2017,Graphite,Peninsula Mines Limited,4349702,Exploration,No,Surface,Exploration,PSM-ASX,0.01,0.02,<10,7.2,10.12,40.49%,FALSE,34,,10,
Horn Island,796931,26452,Australia,Gold,16CH012_003,1/18/2017,Gold,Alice Queen Limited,4348843,Target Outline,No,Surface,Exploration,AQX-ASX,0.02,0.02,<10,2.9,2.69,-8.98%,FALSE,532,,,
Clayton Northeast,853997,77443,USA,Lithium,CNE-17-04,3/1/2017,Lithium,Nevada Sunrise Gold Corporation,4352738,Target Outline,No,Surface,Exploration,NEV-TVX,0.18,0.25,<10,6.99,9.52,36.32%,FALSE,41,,,
Gnaweeda,805400,34133,Australia,Gold,TBRC104,1/27/2017,Gold,Doray Minerals Limited,4349786,Prefeas/Scoping,Yes,Surface,Extension,DRM-ASX,0.35,0.32,>100,124.09,112.66,-9.21%,FALSE,536,,,
Ermitano,795982,67838,Mexico,Silver,EW-16-04,1/17/2017,Gold,Evrim Resources Corporation,4350090,Exploration,Yes,Surface,Exploration,EVM-TVX,0.17,0.24,<10,8.95,12.08,34.97%,FALSE,48,,,
Roe Hills,847919,34639,Australia,Nickel,RHRC002,2/27/2017,Gold,Kairos Minerals Limited,4352482,Target Outline,Yes,Surface,Exploration,KAI-ASX,0.02,0.03,<10,8.67,11.67,34.59%,FALSE,49,,,
Surprise Creek,809218,53986,Canada,Gold,SC-2,2/2/2017,Zinc,Great Bear Resources Limited,4350785,Exploration,Yes,Surface,Exploration,GBR-TVX,0.14,0.18,<10,1.68,2.22,32.26%,FALSE,53,,,
Warrentinna,852429,37356,Australia,Gold,WTR038,3/8/2017,Gold,Greatland Gold Plc,4350797,Target Outline,No,Surface,Extension,GGP-AIMLSE,0,0,<10,7.49,6.79,-9.30%,FALSE,538,,,
Berrigan Lake,807765,26517,Canada,Zinc,BT-16-011,2/1/2017,Zinc,Chibougamau Independent Mines Inc.,4357847,Reserves Development,No,Surface,Exploration,CBG-TVX,0.06,0.08,<10,2.29,2.97,29.91%,FALSE,62,,,
Hawsons,807301,37570,Australia,Iron Ore,RC16BRP064,2/1/2017,Iron Ore,Carpentaria Exploration Limited,4242080,Feasibility Started,Yes,Surface,Extension,CAP-ASX,0.05,0.06,<10,7.72,10.01,29.54%,FALSE,64,,,
Coolgardie,815301,26684,Australia,Gold,PGCL0056,2/13/2017,Gold,Primary Gold Limited,4353445,Feasibility Started,Yes,In Pit,Exploration,PGO-ASX,0.07,0.06,>10 - 100,38.29,34.72,-9.33%,FALSE,540,,,
Boorara,866635,30049,Australia,Gold,BODH028,3/28/2017,Gold,MacPhersons Resources Limited,4351965,Feasibility Started,No,Surface,Extension,MRP-ASX,0.21,0.19,>10 - 100,67.67,61.35,-9.35%,FALSE,541,,,
Prieska,811643,26944,South Africa,Copper,OCOD037,2/7/2017,Zinc,Orion Gold NL,4353093,Target Outline,No,Surface,Extension,ORN-ASX,0.01,0.02,<10,7.87,9.9,25.82%,FALSE,78,,,
Lone Star,799322,25997,Canada,Gold,LS16-70,1/19/2017,Gold,Klondike Gold Corp.,4351641,Reserves Development,Yes,Surface,Extension,KG-TVX,0.13,0.16,<10,7.02,8.82,25.66%,FALSE,80,,,
Jaurdi,825297,78421,Australia,Gold,JD17C69,2/14/2017,Gold,Beacon Minerals Limited,4348499,Target Outline,Yes,Surface,Extension,BCN-ASX,0.02,0.01,>10 - 100,25.14,22.71,-9.67%,FALSE,547,,,
Davyhurst,843465,26359,Australia,Gold,CNRC097,2/20/2017,Gold,Eastern Goldfields Limited,4354674,Feasibility Started,Yes,Surface,Extension,EGS-ASX,0.26,0.24,>100,130.46,117.17,-10.18%,FALSE,555,,,
Bolnisi,825061,52911,Georgia,Copper,KED011,2/13/2017,Copper,Georgian Mining Corporation,4352852,Reserves Development,Yes,Surface,Definition,GEO-AIMLSE,0.11,0.14,<10,8.78,10.98,25.04%,FALSE,84,,,
Sumrakovac,806614,66463,Serbia,Copper,SUMDD-002,1/30/2017,Gold,Mundoro Capital Inc.,4363423,Target Outline,No,Surface,Extension,MUN-TVX,0.11,0.14,<10,5.76,7.16,24.27%,FALSE,88,,,
Davyhurst,813372,26359,Australia,Gold,LOID007,2/9/2017,Gold,Eastern Goldfields Limited,4354674,Feasibility Started,No,Surface,Extension,EGS-ASX,0.3,0.27,>100,147.2,132.16,-10.22%,FALSE,557,,,
Oropesa,795161,38661,Spain,Tin,ORPD 205i,1/16/2017,Tin,Eurotin Inc.,4350082,Prefeas/Scoping,No,Surface,Infill,TIN-TVX,0.03,0.04,<10,0.82,1.01,23.39%,FALSE,92,,,
Pyramid,793126,67466,Canada,Copper,PY-16-5,1/12/2017,Gold,OK2 Minerals Ltd.,4360096,Target Outline,No,Surface,Exploration,OK-TVX,0.1,0.12,<10,5.78,7,20.96%,FALSE,101,,,
Blockhouse,849606,78234,Canada,Gold,BH?17?01,2/28/2017,Gold,Genius Properties Ltd.,4354682,Target Outline,No,Surface,Exploration,GNI-CNQ,0.1,0.12,<10,1.87,2.26,20.68%,FALSE,103,,,
Tlamino,827665,78487,Serbia,Gold,Channel 2,1/9/2017,Gold,MedGold Resources Corporation,4349945,Exploration,Yes,Surface,Exploration,MED-TVX,0.12,0.14,<10,8.79,9.83,19.51%,FALSE,109,,,
Ladner,805259,25798,Canada,Gold,LCU16 CHN02,1/24/2017,Gold,New Carolin Gold Corporation,4352749,Reserves Development,Yes,Underground,Exploration,LAD-TVX,0.05,0.06,<10,8.59,10.4,17.38%,FALSE,124,,,
Ogden,792192,30988,Canada,Gold,TOG-16-48,1/11/2017,Gold,Metals Creek Resources Corporation,4352232,Target Outline,Yes,Surface,Extension,MEK-TVX,0.05,0.06,<10,2.21,2.59,17.03%,FALSE,125,,,
Roe Hills,849994,34639,Australia,Nickel,RHRC009,3/2/2017,Gold,Kairos Minerals Limited,4352482,Target Outline,No,Surface,Extension,KAI-ASX,0.02,0.03,<10,9.24,10.75,16.34%,FALSE,132,,,
Laguna Salada,791736,35032,Argentina,U3O8,16854,1/11/2017,U3O8,U3O8 Corp.,4355045,Prefeas/Scoping,No,Surface,Extension,UWE-TSX,0.03,0.03,<10,8.56,10.01,15.92%,FALSE,135,,,
Murchison,806319,26727,Australia,Gold,16MODD002,1/30/2017,Gold,Musgrave Minerals Limited,4352640,Operating,Yes,Surface,Extension,MGV-ASX,0.06,0.05,>10 - 100,10.06,8.97,-10.84%,FALSE,569,,,
Katanning,792859,37922,Australia,Gold,BSRC0729,1/12/2017,Gold,Ausgold Limited,4348322,Prefeas/Scoping,Yes,Surface,Extension,AUC-ASX,0.03,0.02,<10,9.81,8.74,-10.85%,FALSE,570,,,
Tammela,845358,41781,Finland,Lithium,NM_CS_2.21.2017,2/21/2017,Lithium,Nortec Minerals Corporation,4352865,Target Outline,Yes,Surface,Exploration,NVT-TVX,0.09,0.1,<10,4.54,5.16,13.70%,FALSE,149,,,
Clone,807720,29515,Canada,Gold,CL16-07,2/1/2017,Gold,Silver Grail Resources Ltd.,4354249,Target Outline,Yes,Surface,Extension,SVG-TVX,0.05,0.06,<10,1.17,1.32,13.12%,FALSE,154,,,
Katanning,795612,37922,Australia,Gold,BSRC0731,1/17/2017,Gold,Ausgold Limited,4348322,Prefeas/Scoping,No,Surface,Extension,AUC-ASX,0.03,0.03,<10,9.95,8.83,-11.31%,FALSE,578,,,
Urban,793079,30789,Canada,Gold,BLR-16-08,1/12/2017,Gold,Beaufield Resources Inc.,4348507,Reserves Development,No,Surface,Extension,BFD-TVX,0.07,0.08,<10,9.19,10.35,12.73%,FALSE,162,,,
Byalo,789977,78068,Bulgaria,Gold,CDD-001,1/9/2017,Copper,Mundoro Capital Inc.,4363423,Target Outline,Yes,Surface,Exploration,MUN-TVX,0.1,0.11,<10,5.13,5.76,12.25%,FALSE,168,,,
Plomosas,852643,70812,Mexico,Zinc,LV8014,3/9/2017,Zinc,Consolidated Zinc Limited,4352784,Prefeas/Scoping,Yes,Surface,Extension,CZL-ASX,0.02,0.02,<10,7.65,8.48,10.77%,FALSE,188,,,
Hodine,861955,60267,Egypt,Gold,TDAND-04,3/22/2017,Gold,Stratex International Plc,4354598,Reserves Development,Yes,Surface,Exploration,STI-AIMLSE,0.02,0.02,<10,9.92,10.97,10.63%,FALSE,190,,,
Boundiali,794799,70742,Cote d'Ivoire,Gold,BDAC0207,1/16/2017,Gold,Apollo Consolidated Limited,4356432,Target Outline,Yes,Surface,Extension,AOP-ASX,0.06,0.07,<10,9.63,10.62,10.33%,FALSE,194,,,
Kihabe,810983,34005,Botswana,Zinc,T52RC008,2/5/2017,Zinc,Mount Burgess Mining N.L.,4352593,Prefeas/Scoping,No,Surface,Extension,MTB-ASX,0.01,0.01,<10,1.83,2.01,9.93%,FALSE,197,,,
Arno,851818,66878,Australia,Graphite,17SIVRC098,3/7/2017,Graphite,Renascor Resources Limited,4353738,Prefeas/Scoping,Yes,Surface,Extension,RNU-ASX,0.02,0.02,<10,7.7,8.46,9.92%,FALSE,198,,,
Woodlark Island,860920,29094,Papua New Guinea,Gold,KU17RC009,3/21/2017,Gold,Kula Gold Limited,4361895,Feasibility Complete,Yes,Surface,Extension,KGD-ASX,0.02,0.02,<10,5.68,6.23,9.69%,FALSE,202,,,
Curara Well,800670,70404,Australia,Gold,CWRC005,1/23/2017,Nickel,Venus Metals Corporation Limited,4355197,Exploration,No,Surface,Exploration,VMC-ASX,0.12,0.1,<10,8.15,7.22,-11.50%,FALSE,589,,,
Carlow Castle,862203,32190,Australia,Gold,ARC005,3/22/2017,Cobalt,Artemis Resources Limited,4348189,Reserves Development,Yes,Surface,Extension,ARV-ASX,0.08,0.07,>10 - 100,23.67,20.9,-11.91%,FALSE,594,,,
Springdale,812958,77370,Australia,Graphite,H0065,2/9/2017,Graphite,Comet Resources Limited,4349348,Target Outline,Yes,Surface,Exploration,CRL-ASX,0.02,0.02,<10,2.65,2.85,7.73%,FALSE,227,,,
Doulnia,799909,37646,Burkina Faso,Gold,KRC303,1/20/2017,Gold,Vital Metals Limited,4355245,Target Outline,Yes,Surface,Extension,VML-ASX,0.01,0.01,<10,7.19,7.72,7.33%,FALSE,231,,,
Clayton Valley,836039,77553,USA,Lithium,CVZ-06,2/15/2017,Lithium,Noram Ventures Inc.,4363772,Target Outline,No,Surface,Exploration,NRM-TVX,0.04,0.04,<10,5.45,5.84,7.21%,FALSE,233,,,
Lefroy,858768,78536,Australia,Gold,LEFA 47,3/9/2017,Gold,Lefroy Exploration Limited,4747156,Target Outline,Yes,Surface,Exploration,LEX-ASX,0.17,0.15,>10 - 100,10.94,9.63,-12.00%,FALSE,598,,,
Solwezi,794737,50841,Zambia,Copper,MDD16-2,1/12/2017,Cobalt,Midnight Sun Mining Corp.,4352276,Target Outline,Yes,Surface,Extension,MMA-TVX,0.14,0.15,<10,6.52,6.96,6.79%,FALSE,242,,,
Bolnisi,859219,52911,Georgia,Copper,GMC_CS2_03.13.2017,3/13/2017,Gold,Georgian Mining Corporation,4352852,Reserves Development,Yes,Surface,Extension,GEO-AIMLSE,0.12,0.13,<10,9.79,10.31,5.37%,FALSE,260,,,
La Loutre,835927,65199,Canada,Graphite,LL-16-06,2/15/2017,Graphite,Lomiko Metals Inc.,4351888,Prefeas/Scoping,No,Surface,Infill,LMR-TVX,0.21,0.22,<10,3.86,4.04,4.68%,FALSE,266,,,
Halls Peak,788423,40438,Australia,Silver,SG03,1/5/2017,Zinc,Force Commodities Limited,4354478,Target Outline,Yes,Surface,Extension,4CE-ASX,0.02,0.02,<10,3.48,4.39,3.85%,FALSE,272,,,
Lake Roe,849113,76396,Australia,Gold,BBRC0231,3/1/2017,Gold,Breaker Resources NL,4357258,Target Outline,Yes,Surface,Extension,BRB-ASX,0.43,0.38,>10 - 100,56.45,49.62,-12.22%,FALSE,601,,,
Symons Hill,811412,64842,Australia,Nickel,16BAC163,2/6/2017,Nickel,Boadicea Resources Ltd.,4357140,Target Outline,No,Surface,Extension,BOA-ASX,0.13,0.13,<10,5.99,6.16,2.88%,FALSE,283,,,
Hatches Creek,856951,57235,Australia,Tungsten,HCRC014,3/14/2017,Tungsten,GWR Group Limited,4350608,Prefeas/Scoping,Yes,Surface,Extension,GWR-ASX,0.04,0.04,<10,9.12,9.33,2.27%,FALSE,291,,,
Cuitaboca,815154,29381,Mexico,Silver,LUTR-09,2/10/2017,Silver,Santana Minerals Limited,4391733,Target Outline,No,Surface,Exploration,SMI-ASX,0.03,0.03,<10,8.4,8.55,1.76%,FALSE,302,,,
Redhill,802749,76579,Canada,Copper,RH16-04,1/24/2017,Copper,Troymet Exploration Corporation,4355000,Target Outline,No,Surface,Exploration,TYE-TVX,0.01,0.01,<10,1.37,1.4,1.73%,FALSE,303,,,
Snow Lake,788447,36005,Canada,Copper,TB-012,1/5/2017,Copper,Rockcliff Copper Corporation,4354421,Reserves Development,Yes,Surface,Extension,RCU-TVX,0.07,0.07,<10,9.74,9.89,1.55%,FALSE,308,,,
Aphrodite,788455,30914,Australia,Gold,APDM0006,1/5/2017,Gold,Aphrodite Gold Limited,4348096,Prefeas/Scoping,No,Surface,Metallurgical,AQQ-ASX,0.01,0.01,<10,9.8,8.57,-12.54%,FALSE,605,,,
